Title,Rating,Votes,Duration,Genre
Red Right Hand,5.5, 5.9K,1h 51m,thriller
Bad Genius,6.2, 2.3K,1h 36m,thriller
Winnie-the-Pooh: Blood and Honey 2,4.7, 11K,1h 33m,thriller
Marco,6.8, 21K,2h 25m,thriller
Long Gone Heroes,5.2, 1.1K,1h 41m,thriller
Bonhoeffer: Pastor. Spy. Assassin.,6.2, 3.6K,2h 13m,thriller
Electra,6.3,44,1h 25m,thriller
Breathe,4.2, 7.3K,1h 33m,thriller
The Devil's Bath,6.6, 6.3K,2h 1m,thriller
The Calendar Killer,5.4, 4.2K,1h 37m,thriller
Force of Nature: The Dry 2,5.8, 7.1K,2h,thriller
The Silent Hour,6.1, 7.5K,1h 39m,thriller
Something in the Water,4.1, 4.8K,1h 26m,thriller
Twilight of the Warriors: Walled In,7, 9.6K,2h 6m,thriller
Dead Talents Society,7, 2.1K,1h 51m,thriller
Kishkindha Kaandam,8, 12K,2h 13m,thriller
The Platform 2,4.9, 40K,1h 39m,thriller
Night Swim,4.7, 27K,1h 38m,thriller
Do Patti,6.4, 69K,2h 6m,thriller
Night Call,6.8, 2K,1h 37m,thriller
Colors of Evil: Red,6.4, 8.5K,1h 51m,thriller
A Sacrifice,5, 5.3K,1h 34m,thriller
Amber Alert,6, 5.7K,1h 30m,thriller
Bedspacer,4.4,345,1h 30m,thriller
Humane,5.5, 7.3K,1h 33m,thriller
The Girl in the Pool,4.3, 1.5K,1h 29m,thriller
Chief of Station,4.7, 4.6K,1h 37m,thriller
Bramayugam,7.8, 14K,2h 19m,thriller
Grafted,5.6, 2.3K,1h 36m,thriller
The Exorcism,4.2, 11K,1h 35m,thriller
Damaged,4.7, 7.3K,1h 37m,thriller
Things Will Be Different,5.2, 2.6K,1h 42m,thriller
The Mouse Trap,2.5, 3.3K,1h 20m,thriller
Cloud,6.3, 1.2K,2h 4m,thriller
Blood Star,6.1, 4K,1h 37m,thriller
Uprising,6.6, 5.6K,2h 6m,thriller
